ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
27,CHOCO,27006,ACANDI,27006000,ACANDI (ACANDI - CHOCO),2020,01,"418,615","191,068.46",941.6,Viernes,01/17/2020 08:45:00 PM,19.23
52,NARINO,52390,LA TOLA,52390013,AMÁRALES (LA TOLA - NARIÑO),2020,01,"5,064","1,179.88",70.34,Martes,01/21/2020 08:15:00 PM,2.53
27,CHOCO,27495,NUQUI,27495001,ARUSÍ (NUQUI - CHOCO),2020,01,"10,287","4,874.8",51.2,Lunes,01/20/2020 06:30:00 PM,8.5
27,CHOCO,27800,UNGUIA,27800001,BALBOA (UNGUIA - CHOCO),2020,01,"16,481","6,457.78",89.87,Sábado,01/11/2020 07:30:00 PM,7.41
94,GUAINIA,94343,BARRANCO MINAS,94343000,BARRANCO MINAS (BARRANCO MINAS - GUAINíA),2020,01,"39,131","13,848.95",154.14,Miércoles,01/22/2020 07:00:00 PM,11.8
52,NARINO,52250,EL CHARCO,52250023,BAZÁN (EL CHARCO - NARIÑO),2020,01,"16,316","7,561.2",105.6,Viernes,01/24/2020 08:30:00 PM,5.59
27,CHOCO,27099,BOJAYA (BELLAVISTA),27099000,BELLAVISTA (BOJAYÁ (BELLAVISTA) - CHOCO),2020,01,"79,288","28,402.35",242.36,Sábado,01/18/2020 07:45:00 PM,14.56
27,CHOCO,27425,MEDIO ATRATO (BETE),27425000,BETE (MEDIO ATRATO (BETE) - CHOCO),2020,01,"7,336","2,747",84,Viernes,01/31/2020 07:45:00 PM,4.4
52,NARINO,52835,TUMACO,52835055,BOCAS DE CURAY (TUMACO - NARIÑO),2020,01,"6,548","1,273.2",57.6,Viernes,01/24/2020 07:00:00 PM,4.37
52,NARINO,52490,OLAYA HERRERA,52490913,BOCAS DE PRIETA (OLAYA HERRERA - NARIÑO),2020,01,"3,143",623.71,21.84,Miércoles,01/29/2020 06:00:00 PM,5.33
85,CASANARE,85430,TRINIDAD,85430001,BOCAS DEL PAUTO (TRINIDAD - CASANARE),2020,01,"13,100","7,329.95",107.65,Jueves,01/30/2020 07:00:00 PM,5.56
27,CHOCO,27006,ACANDI,27006003,CAPURGANA (ACANDI - CHOCO),2020,01,"296,137","107,669.5",833.89,Viernes,01/03/2020 06:30:00 PM,18.23
97,VAUPES,97161,CARURU,97161000,CARURÚ (CARURÚ - VAUPÉS),2020,01,"26,507","9,259.36",97.68,Viernes,01/24/2020 06:45:00 PM,12.24
99,VICHADA,99001,PUERTO CARREÑO,99001002,CASUARITO (PUERTO CARREÑO - VICHADA),2020,01,"26,425","11,215.69",129.36,Lunes,01/20/2020 06:30:00 PM,8.43
19,CAUCA,19809,TIMBIQUI,19809014,CHACÓN (TIMBIQUÍ - CÁUCA),2020,01,"3,530",625.23,30.06,Miércoles,01/15/2020 06:45:00 PM,5.3
52,NARINO,52835,TUMACO,52835012,CHAJAL (TUMACO - NARIÑO),2020,01,"3,350",902.02,145.55,Lunes,01/13/2020 07:15:00 PM,0.55
27,CHOCO,27025,ALTO BAUDO (PIE DE PATO),27025000,CIUDAD BAUDO (ALTO BAUDO (PIE DE PATO) - CHOCO),2020,01,"32,654","8,738.58",143.18,Martes,01/21/2020 07:15:00 PM,12.54
19,CAUCA,19809,TIMBIQUI,19809010,COMUNIDAD DE CHETE (TIMBIQUÍ - CAUCA),2020,01,"2,093",617.42,39.23,Domingo,01/19/2020 07:30:00 PM,2.5
27,CHOCO,27495,NUQUI,27495912,COMUNIDAD INDÍGENA DE PANGUI - (EL YUCAL) (NUQUI - CHOCO),2020,01,"5,875","1,483.54",11.21,Lunes,01/20/2020 12:00:00 PM,19.12
19,CAUCA,19809,TIMBIQUI,19809003,COTEJE (TIMBIQUÍ - CAUCA),2020,01,"5,137","3,128.93",34.04,Sábado,01/18/2020 07:45:00 PM,5.46
99,VICHADA,99773,CUMARIBO,99773000,CUMARIBO (CUMARIBO - VICHADA),2020,01,"269,226","118,699.9",579.92,Martes,01/28/2020 06:15:00 PM,21.49
27,CHOCO,27075,BAHIA SOLANO (MUTIS),27075001,CUPICA (BAHÍA SOLANO (MUTIS) - CHOCO),2020,01,"57,963","25,683.74",152.14,Sábado,01/04/2020 07:15:00 PM,20.58
19,CAUCA,19418,LOPEZ (MICAY),19418011,DOS QUEBRADAS NAYA (LÓPEZ (MICAY) - CAUCA),2020,01,"2,090",536.7,45.25,Sábado,01/04/2020 06:45:00 PM,1.47
52,NARINO,52250,EL CHARCO,52250022,EL CUIL PUEBLO NUEVO (EL CHARCO - NARIÑO),2020,01,"5,358","1,797.81",35.28,Sábado,01/04/2020 08:15:00 PM,6.15
27,CHOCO,27075,BAHIA SOLANO (MUTIS),27075002,EL VALLE (BAHÍA SOLANO (MUTIS) - CHOCO),2020,01,"150,660","70,006.46",312.05,Viernes,01/31/2020 07:15:00 PM,23.52
18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,18753002,GUACAMAYAS (SAN VICENTE DEL CAGUAN - CAQUETÁ),2020,01,"12,554","6,146.51",39.26,Viernes,01/03/2020 07:30:00 PM,18.26
94,GUAINIA,94001,INIRIDA,94001000,INíRIDA (INíRIDA - GUAINíA),2020,01,"1,643,134","551,951.84","3,193.52",Martes,01/28/2020 02:30:00 PM,24
19,CAUCA,19418,LOPEZ (MICAY),19418038,ISLA DE GALLO (LOPEZ (MICAY) - CAUCA),2020,01,"2,545",788.1,26.94,Viernes,01/10/2020 06:45:00 PM,3.54
13,BOLIVAR,13001,CARTAGENA,13001007,ISLA FUERTE (CARTAGENA - BOLíVAR),2020,01,"16,797","8,887.23",135.85,Sábado,01/04/2020 03:30:00 PM,5.26
13,BOLIVAR,13001,CARTAGENA,13001037,ISLA MúCURA (CARTAGENA - BOLíVAR),2020,01,"10,188","4,396.46",31.44,Sábado,01/04/2020 09:45:00 PM,14.6
52,NARINO,52696,SANTA BARBARA (ISCUANDE),52696014,LA ENSENADA (SANTA BARBARA (ISCUANDE) - NARIÑO),2020,01,"4,466","5,905.46",28.35,Martes,01/21/2020 06:30:00 PM,5.49
27,CHOCO,27099,BOJAYA (BELLAVISTA),27099002,LA LOMA DE BOJAYÁ (BOJAYÁ (BELLAVISTA) - CHOCO),2020,01,"13,519","5,124",83.2,Domingo,01/19/2020 07:15:00 PM,7.42
99,VICHADA,99524,LA PRIMAVERA,99524000,LA PRIMAVERA (LA PRIMAVERA - VICHADA),2020,01,"351,440","182,493.17",705.25,Jueves,01/30/2020 07:45:00 PM,24
52,NARINO,52390,LA TOLA,52390003,LA VIGÍA (LA TOLA - NARIÑO),2020,01,"4,676","1,439.54",31.96,Lunes,01/06/2020 06:45:00 PM,6.8
91,AMAZONAS,91001,LETICIA,91001000,LETICIA (LETICIA - AMAZONAS),2020,01,"3,930,642","1,251,191","7,768.76",Lunes,01/27/2020 02:15:00 PM,24
19,CAUCA,19809,TIMBIQUI,19809026,LOS BRAZOS (TIMBIQUÍ - CAUCA),2020,01,"9,464",735.77,51.77,Miércoles,01/29/2020 07:45:00 PM,6.5
50,META,50325,MAPIRIPAN,50325000,MAPIRIPÁN (MAPIRIPÁN - META),2020,01,"133,744","56,336.94",288.64,Viernes,01/31/2020 06:45:00 PM,23.37
95,GUAVIARE,95200,MIRAFLORES,95200000,MIRAFLORES (MIRAFLORES - GUAVIARE),2020,01,"78,171","27,604.83",201.08,Miércoles,01/29/2020 07:15:00 PM,17.36
97,VAUPES,97001,MITU,97001000,MITÚ (MITÚ - VAUPÉS),2020,01,"1,242,033","394,709.65","2,633.77",Viernes,01/31/2020 11:45:00 AM,23.58
52,NARINO,52390,LA TOLA,52390009,MULATOS (LA TOLA - NARIÑO),2020,01,"4,243","2,448.11",37.7,Martes,01/14/2020 07:30:00 PM,5.56
27,CHOCO,27075,BAHIA SOLANO (MUTIS),27075000,MUTIS (BAHIA SOLANO (MUTIS) - CHOCO),2020,01,"611,938","224,941.42","1,191.96",Viernes,01/17/2020 08:15:00 PM,23.56
44,LA GUAJIRA,44847,URIBIA,44847012,NAZARETH (URIBIA - LA GUAJIRA),2020,01,"15,660","7,256.26",213.98,Miércoles,01/08/2020 06:30:00 PM,3.51
19,CAUCA,19418,LOPEZ (MICAY),19418009,NOANAMITO (LÓPEZ (MICAY) - CAUCA),2020,01,"4,271","2,127",32,Viernes,01/31/2020 08:45:00 PM,5.56
27,CHOCO,27495,NUQUI,27495000,NUQUI (NUQUI - CHOCO),2020,01,"198,811","62,901.5",482.24,Lunes,01/13/2020 07:15:00 PM,19.34
47,MAGDALENA,47189,CIENAGA,47189018,PALMOR (CIÉNAGA - MAGDALENA),2020,01,"95,888","36,335.82",188.48,Sábado,01/18/2020 07:15:00 PM,23.36
86,PUTUMAYO,86573,PUERTO LEGUIZAMO,86573009,PIÑUÑA NEGRO (PUERTO LEGUIZAMO - PUTUMAYO),2020,01,"3,942","1,771.2",28.8,Domingo,01/26/2020 08:30:00 PM,6.15
52,NARINO,52835,TUMACO,52835016,PITAL (TUMACO - NARIÑO),2020,01,"16,992","9,518",88,Sábado,01/18/2020 07:30:00 PM,8.36
27,CHOCO,27077,BAJO BAUDO (PIZARRO),27077000,PIZARRO (BAJO BAUDO (PIZARRO) - CHOCO),2020,01,"186,716","83,630.32",533.81,Viernes,01/17/2020 07:30:00 PM,20.54
88,ARCHIPIELAGO DE SAN ANDRES,88564,PROVIDENCIA,88564000,PROVIDENCIA (PROVIDENCIA - ARCHIPIÉLAGO DE SAN ANDRÉS),2020,01,"982,117","337,077","1,671.09",Viernes,01/03/2020 07:30:00 PM,24
